length_mm,width_mm,height_mm,torque_nm,battery_type,seats
3673,1683,1518,235.0,Lithium-ion,4
3673,1683,1518,235.0,Lithium-ion,4
4187,1779,1557,345.0,Lithium-ion,5
4187,1779,1557,345.0,Lithium-ion,5
4680,1865,1700,310.0,Lithium-ion,5
4805,1880,1641,315.0,Lithium-ion,5
4173,1781,1532,260.0,Lithium-ion,5
4173,1781,1505,345.0,Lithium-ion,5
3997,1823,1512,285.0,Lithium-ion,5
3997,1823,1512,300.0,Lithium-ion,5
4928,1923,1455,435.0,Lithium-ion,5
4928,1923,1455,565.0,Lithium-ion,5
4928,1923,1455,855.0,Lithium-ion,5
4928,1923,1455,435.0,Lithium-ion,5
4928,1923,1455,565.0,Lithium-ion,5
4928,1923,1455,855.0,Lithium-ion,5
4588,1865,1614,310.0,Lithium-ion,5
4588,1865,1614,545.0,Lithium-ion,5
4588,1865,1614,679.0,Lithium-ion,5
4588,1865,1614,679.0,Lithium-ion,5
4588,1865,1632,310.0,Lithium-ion,5
4588,1865,1632,545.0,Lithium-ion,5
4588,1865,1632,679.0,Lithium-ion,5
4588,1865,1632,679.0,Lithium-ion,5
4771,1939,1685,450.0,Lithium-ion,5
4771,1939,1665,450.0,Lithium-ion,5
4771,1939,1665,485.0,Lithium-ion,5
4771,1939,1665,855.0,Lithium-ion,5
4771,1939,1685,485.0,Lithium-ion,5
4771,1939,1685,855.0,Lithium-ion,5
4928,1923,1493,855.0,Lithium-ion,5
4928,1923,1465,855.0,Lithium-ion,5
4771,1965,1685,855.0,Lithium-ion,5
4771,1965,1665,855.0,Lithium-ion,5
4997,1964,1389,865.0,Lithium-ion,4
4997,1964,1389,1027.0,Lithium-ion,4
5004,1964,1394,740.0,Lithium-ion,4
5004,1964,1394,625.0,Lithium-ion,4
4783,1852,1448,795.0,Lithium-ion,5
4783,1852,1448,400.0,Lithium-ion,5
4783,1852,1448,430.0,Lithium-ion,5
4783,1852,1448,600.0,Lithium-ion,5
5060,1900,1505,795.0,Lithium-ion,5
5060,1900,1505,795.0,Lithium-ion,5
5060,1900,1515,400.0,Lithium-ion,5
5060,1900,1515,400.0,Lithium-ion,5
5060,1900,1515,590.0,Lithium-ion,5
5060,1900,1515,590.0,Lithium-ion,5
5391,1950,1544,1100.0,Lithium-ion,5
5391,1950,1544,650.0,Lithium-ion,5
5391,1950,1544,745.0,Lithium-ion,5
4965,1970,1695,1015.0,Lithium-ion,5
4965,1970,1695,700.0,Lithium-ion,5
4965,1970,1695,765.0,Lithium-ion,5
4500,1845,1616,247.0,Lithium-ion,5
4500,1845,1616,494.0,Lithium-ion,5
4554,1845,1560,247.0,Lithium-ion,5
4554,1845,1560,494.0,Lithium-ion,5
4310,1830,1675,290.0,Lithium-ion,5
