model,image_url
500e Convertible,https://ev-database.org//img/auto/Abarth_500e_Convertible/Abarth_500e_Convertible-01-thumb.jpg
500e Hatchback,https://ev-database.org//img/auto/Abarth_500e_Hatchback/Abarth_500e_Hatchback-01-thumb.jpg
600e Scorpionissima,https://ev-database.org//img/auto/Abarth_600e_Scorpionissima/Abarth_600e_Scorpionissima-01-thumb.jpg
600e Turismo,https://ev-database.org//img/auto/Abarth_600e/Abarth_600e-01-thumb.jpg
U5,https://ev-database.org//img/auto/Aiways_U5/Aiways_U5-01-thumb.jpg
U6,https://ev-database.org//img/auto/Aiways_U6/Aiways_U6-01-thumb.jpg
A290 Electric 180 hp,https://ev-database.org//img/auto/Alpine_A290_2024/Alpine_A290_2024-01-thumb.jpg
A290 Electric 220 hp,https://ev-database.org//img/auto/Alpine_A290_2024/Alpine_A290_2024-01-thumb.jpg
A6 Avant e-tron,https://ev-database.org//img/auto/Audi_A6_Avant_etron_2024/Audi_A6_Avant_etron_2024-01-thumb.jpg
A6 Avant e-tron performance,https://ev-database.org//img/auto/Audi_A6_Avant_etron_2024/Audi_A6_Avant_etron_2024-01-thumb.jpg
A6 Avant e-tron quattro,https://ev-database.org//img/auto/Audi_A6_Avant_etron_2024/Audi_A6_Avant_etron_2024-01-thumb.jpg
A6 Sportback e-tron,https://ev-database.org//img/auto/Audi_A6_Sportback_etron_2024/Audi_A6_Sportback_etron_2024-01-thumb.jpg
A6 Sportback e-tron performance,https://ev-database.org//img/auto/Audi_A6_Sportback_etron_2024/Audi_A6_Sportback_etron_2024-01-thumb.jpg
A6 Sportback e-tron quattro,https://ev-database.org//img/auto/Audi_A6_Sportback_etron_2024/Audi_A6_Sportback_etron_2024-01-thumb.jpg
e-tron GT quattro,https://ev-database.org//img/auto/Audi_e-tron_GT_quattro/Audi_e-tron_GT_quattro-01-thumb.jpg
e-tron GT RS performance,https://ev-database.org//img/auto/Audi_e-tron_GT_RS_Performance_2025/Audi_e-tron_GT_RS_Performance_2025-01-thumb.jpg
e-tron GT RS,https://ev-database.org//img/auto/Audi_e-tron_GT_RS/Audi_e-tron_GT_RS-01-thumb.jpg
e-tron GT S,https://ev-database.org//img/auto/Audi_e-tron_GT_S_2025/Audi_e-tron_GT_S_2025-01-thumb.jpg
